TexmacoRail,CentralBank,KothariSugar,PCBL,GreavesCotton,PadamjiPaper,Suzlon,Time
136.45,37.60,55.60,161.20,138.10,47.75,NaN,2023-09-13 09:11:41.093625
136.45,37.60,55.60,161.30,138.10,48.70,NaN,2023-09-13 09:17:55.361090
136.45,37.60,55.60,161.30,138.10,48.70,NaN,2023-09-13 09:19:54.677369
136.45,37.60,55.60,161.30,138.10,48.70,NaN,2023-09-13 09:20:09.294568
137.70,38.25,55.60,161.30,140.80,48.70,NaN,2023-09-13 09:36:59.441768
137.70,38.25,55.60,164.40,140.80,48.70,NaN,2023-09-13 09:37:34.717540
137.70,38.25,55.60,164.40,140.80,48.70,NaN,2023-09-13 09:38:49.565885
137.70,38.25,55.60,164.40,140.80,48.70,NaN,2023-09-13 09:39:23.790586
141.95,38.25,55.60,164.40,140.80,48.70,NaN,2023-09-13 09:41:35.853012
141.95,38.25,53.10,164.40,140.80,48.35,NaN,2023-09-13 09:44:04.238323
133.15,38.00,55.00,164.25,139.70,50.15,NaN,2023-09-13 11:59:11.142654
133.15,38.00,55.00,164.25,139.70,50.15,NaN,2023-09-13 12:02:15.461164
133.15,38.15,55.00,164.35,139.25,50.15,NaN,2023-09-13 12:02:15.461164
133.15,38.15,55.00,164.35,139.25,50.15,NaN,2023-09-13 12:02:15.461164
133.15,38.15,55.00,164.35,139.25,50.15,NaN,2023-09-13 12:10:47.112671
133.15,38.15,55.00,164.35,139.25,50.15,NaN,2023-09-13 12:11:11.874390
133.15,38.15,55.00,164.35,139.25,50.15,NaN,2023-09-13 12:11:22.687131
133.15,38.15,55.00,164.35,139.25,50.15,NaN,2023-09-13 12:11:22.687131
133.15,38.15,55.00,164.35,139.25,50.15,NaN,2023-09-13 12:11:22.687131
133.15,38.15,55.00,164.35,139.25,50.15,NaN,2023-09-13 12:11:22.687131
136.25,40.00,55.70,167.45,139.75,51.80,NaN,2023-09-13 14:46:54.698321
136.25,40.15,55.70,167.45,139.75,51.75,NaN,2023-09-13 14:46:54.698321
136.25,40.15,55.70,167.45,139.75,51.75,NaN,2023-09-13 14:49:40.137075   
136.25,40.15,55.70,167.45,139.75,51.75,NaN,2023-09-13 14:49:40.137075
136.25,40.15,55.70,167.45,139.75,51.75,NaN,2023-09-13 14:49:40.137075
136.25,40.15,55.70,167.45,140.25,51.75,NaN,2023-09-13 14:49:40.137075
136.25,40.15,55.70,167.45,140.25,51.55,NaN,2023-09-13 14:49:40.137075
136.25,40.25,55.70,167.45,140.20,51.45,NaN,2023-09-13 14:49:40.137075
136.25,40.25,55.70,167.45,140.20,51.45,NaN,2023-09-13 14:49:40.137075
136.25,40.25,55.70,167.35,140.20,51.45,NaN,2023-09-13 15:05:07.924797
136.25,40.25,55.70,167.35,140.20,51.45,NaN,2023-09-13 15:05:07.924797
136.25,40.25,55.30,167.35,140.20,51.45,NaN,2023-09-13 15:05:07.924797
136.25,40.25,55.30,167.35,140.20,51.45,NaN,2023-09-13 15:05:07.924797
136.65,40.25,55.30,167.35,140.25,51.45,NaN,2023-09-13 15:17:15.879604
136.65,40.25,55.30,167.35,140.25,51.45,NaN,2023-09-13 15:17:15.879604
136.65,40.25,55.30,167.35,139.95,51.45,NaN,2023-09-13 15:17:15.879604
136.65,40.25,55.30,167.35,139.95,51.45,NaN,2023-09-13 15:17:15.879604
136.65,40.25,55.30,167.35,139.95,51.45,NaN,2023-09-13 15:17:15.879604
136.65,40.25,55.30,167.35,139.95,51.45,NaN,2023-09-13 15:17:15.879604
136.65,40.25,55.30,166.60,139.95,53.30,NaN,2023-09-13 15:17:15.879604
136.65,40.40,55.30,166.60,139.95,53.30,NaN,2023-09-13 15:17:15.879604
136.65,40.25,55.30,166.60,139.95,53.30,NaN,2023-09-13 15:17:15.879604
136.65,40.40,55.30,166.60,139.95,53.30,NaN,2023-09-13 15:17:15.879604
136.65,40.25,55.30,166.60,139.95,53.30,NaN,2023-09-13 15:17:15.879604
136.45,40.25,55.30,166.60,139.95,53.30,NaN,2023-09-13 15:17:15.879604
136.45,40.25,55.30,166.60,139.95,53.30,NaN,2023-09-13 15:17:15.879604
136.45,40.25,55.30,166.60,139.95,53.30,NaN,2023-09-13 15:17:15.879604
136.45,40.40,55.30,166.60,139.95,53.30,NaN,2023-09-13 15:17:15.879604
136.45,40.40,55.30,166.60,139.80,53.40,NaN,2023-09-13 15:17:15.879604
136.45,40.40,55.30,166.60,139.80,53.40,NaN,2023-09-13 15:17:15.879604
136.45,40.40,55.30,166.85,139.80,53.40,NaN,2023-09-13 15:17:15.879604
136.45,40.40,55.30,166.85,139.80,53.40,NaN,2023-09-13 15:17:15.879604
136.80,40.40,55.30,166.85,139.80,53.40,NaN,2023-09-13 15:17:15.879604
136.45,40.40,55.30,166.85,139.80,53.40,NaN,2023-09-13 15:17:15.879604
136.80,40.40,55.30,166.85,139.80,53.40,NaN,2023-09-13 15:17:15.879604
136.80,40.40,55.30,166.85,139.80,53.40,NaN,2023-09-13 15:17:15.879604
